,Model,Known Ratings,RMSE,MAE,MSE,NDCG@K
0,SVD,5,0.9464617680481648,0.7420066046025349,0.8957898783768582,0.03455584352712358
1,SVD,10,0.9208013568007083,0.7199915547661484,0.8478751386860253,0.034934546034699435
2,SVD,20,0.9026553902476236,0.7038678873360942,0.8147867535430897,0.030508507995658324
3,SVD++,5,0.9385779055257933,0.7343449266201368,0.8809284847411851,0.03415129411948325
4,SVD++,10,0.9149619484249539,0.7142117154884996,0.837155367065588,0.033687621144800624
5,SVD++,20,0.8957048126862988,0.6971666344174314,0.8022871114693976,0.036640920994249544
6,NMF,5,1.0771534429829488,0.8455061237543896,1.1602595397300206,0.006333988536433057
7,NMF,10,1.0261112165007302,0.7998902416847926,1.0529042286286083,0.007944016850162274
8,NMF,20,0.9719947603688802,0.7552320320468238,0.9447738141845569,0.004576343927448496
9,KNNBasic,5,1.1007330136434192,0.8552813452543082,1.2116131673245236,0.006340846629653321
10,KNNBasic,10,1.0589747378555787,0.8195244023867239,1.1214274954162915,0.0021267511815707854
11,KNNBasic,20,0.992575721271421,0.7668001369737925,0.9852065624574816,0.0005370510679886555
12,KNNWithMeans,5,1.0813454211232634,0.8378609249327827,1.1693079197842478,0.007500342763962429
13,KNNWithMeans,10,1.015679849824928,0.7890658577110888,1.0316055573403884,0.0027998877311033133
14,KNNWithMeans,20,0.9496924300778921,0.737664846495575,0.9019157117472518,0.001608576617595198
15,KNNWithZScore,5,1.0783219936011192,0.8324517348125667,1.162778321883892,0.006985746535857926
16,KNNWithZScore,10,1.0170681708651232,0.785602295454413,1.0344276641869277,0.002547641260235725
17,KNNWithZScore,20,0.9492489731308372,0.7333375090381237,0.901073612989949,0.0014821706475281523
18,KNNBaseline,5,1.0346919914494768,0.8052699701240665,1.0705875171696841,0.006315214303462898
19,KNNBaseline,10,0.9916321777912603,0.7703114485539999,0.9833343760310377,0.002269041305529883
20,KNNBaseline,20,0.9292730020896568,0.7199803836060512,0.8635483124127232,0.0006236136130020966
21,CoClustering,5,1.0355618781389082,0.8032671171563178,1.0723884034545832,0.003311771393757997
22,CoClustering,10,0.9834859604443829,0.763410441388692,0.9672446343912101,0.0023600428735184287
23,CoClustering,20,0.9447712674644505,0.7333982476199462,0.8925927478263842,0.0021470684017408804
24,BaselineOnly,5,0.9470514370810938,0.7440255017759718,0.896906424477365,0.05481039815373199
25,BaselineOnly,10,0.9220115333643422,0.7224131619523951,0.8501052676568654,0.057950885571636954
26,BaselineOnly,20,0.8993879503771485,0.7023701949851718,0.8088986852836081,0.051978242462700656
27,SlopeOne(),5,1.1410760177178234,0.8851196359849374,1.3020544782107666,0.009137374565289834
28,SlopeOne(),10,1.0745413014367122,0.8351605908042562,1.1546390084933031,0.003736440541974009
29,SlopeOne(),20,0.9802751132599622,0.7617426034364156,0.9609392976768317,0.001460891288681316
30,NormalPredictor(),5,1.4152057306406545,1.1291033796621353,2.0028072600381486,0.007858451607519143
31,NormalPredictor(),10,1.4132194319148657,1.1285511690460357,1.9971891627417757,0.00772571777895935
32,NormalPredictor(),20,1.4082594642793897,1.1244375278602377,1.9831947187324739,0.007375508968917593
